                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.2994,                 1.9474,                 1.1694,                0.99728,                0.40671,                0.89677,                 0.6048,                 1.0046,                 2.2323,                 1.0147,               0.070667,              0.0032593,              0.0032593
                      1,                 1.2737,                0.84369,                 1.1068,                0.95966,                0.72021,                0.89449,                0.47652,                  1.549,                 1.2362,                 1.1921,               0.040645,              0.0065708,              0.0065708
                      2,                 1.2749,                0.78364,                 1.0717,                0.88347,                0.89506,                0.90761,                0.42967,                 1.5992,                 1.0408,                 1.4515,               0.010601,              0.0098604,              0.0098604
                      3,                 1.2285,                 0.7448,                 1.0653,                0.90096,                0.87917,                0.90899,                0.56195,                 1.2058,                0.70833,                  1.142,               0.009901,               0.009901,               0.009901
                      4,                 1.2028,                0.68159,                 1.0619,                0.92775,                0.90028,                 0.9211,                0.58888,                 1.0348,                0.62833,                  1.095,               0.009901,               0.009901,               0.009901
                      5,                 1.1783,                0.64648,                 1.0557,                0.87977,                0.78662,                 0.8353,                0.38018,                 1.7087,                 1.1764,                 1.5327,               0.009868,               0.009868,               0.009868
                      6,                 1.1602,                0.61548,                 1.0483,                0.91623,                 0.9025,                0.92981,                0.57457,                 1.2692,                0.65106,                 1.2109,               0.009835,               0.009835,               0.009835
                      7,                 1.1356,                0.59659,                 1.0457,                0.88564,                0.89556,                0.86686,                0.46585,                 1.3637,                 0.7097,                 1.2992,               0.009802,               0.009802,               0.009802
                      8,                 1.1295,                0.58178,                 1.0388,                0.91226,                0.89528,                0.91092,                0.49044,                 1.4923,                0.69569,                 1.3605,               0.009769,               0.009769,               0.009769
                      9,                 1.1141,                0.57184,                 1.0333,                0.91177,                0.88411,                0.90711,                0.50531,                 1.4748,                0.74349,                 1.3732,               0.009736,               0.009736,               0.009736
                     10,                 1.1121,                0.56511,                 1.0278,                0.92559,                0.89836,                 0.9257,                 0.5651,                 1.1992,                0.60719,                 1.1709,               0.009703,               0.009703,               0.009703
                     11,                 1.1035,                0.55339,                 1.0279,                0.93915,                0.85322,                0.91619,                0.67329,                0.88601,                0.67418,                 1.0194,                0.00967,                0.00967,                0.00967
